"filename", "language", "JSON with Comments", "HTML", "TypeScript", "JSON", "Vue", "Docker", "Markdown", "PostCSS", "comment", "blank", "total"
"/Users/user/Documents/AAOPTOM Website/server/src/coto/live.ts", "TypeScript", 0, 0, 299, 0, 0, 0, 0, 0, 0, 26, 325
"/Users/user/Documents/AAOPTOM Website/server/src/coto/mock.ts", "TypeScript", 0, 0, 215, 0, 0, 0, 0, 0, 0, 13, 228
"/Users/user/Documents/AAOPTOM Website/server/src/coto/normalize.ts", "TypeScript", 0, 0, 139, 0, 0, 0, 0, 0, 1, 18, 158
"/Users/user/Documents/AAOPTOM Website/server/src/coto/types.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/user/Documents/AAOPTOM Website/server/src/errors.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/user/Documents/AAOPTOM Website/server/src/index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/user/Documents/AAOPTOM Website/server/src/inquiries/service.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 15, 158
"/Users/user/Documents/AAOPTOM Website/server/src/middleware/auth.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/user/Documents/AAOPTOM Website/server/src/routes/auth.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/user/Documents/AAOPTOM Website/server/src/routes/contacts.ts", "TypeScript", 0, 0, 213, 0, 0, 0, 0, 0, 0, 15, 228
"/Users/user/Documents/AAOPTOM Website/server/src/scripts/add-staff.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/user/Documents/AAOPTOM Website/server/src/scripts/check-coto.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/user/Documents/AAOPTOM Website/server/src/scripts/list-staff.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/user/Documents/AAOPTOM Website/server/src/types/session.d.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/user/Documents/AAOPTOM Website/server/src/validation.ts", "TypeScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 14, 149
"/Users/user/Documents/AAOPTOM Website/server/test/app.test.ts", "TypeScript", 0, 0, 184, 0, 0, 0, 0, 0, 0, 22, 206
"/Users/user/Documents/AAOPTOM Website/server/tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/user/Documents/AAOPTOM Website/shared/inquiry-note.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 13, 98
"/Users/user/Documents/AAOPTOM Website/shared/questionnaire.ts", "TypeScript", 0, 0, 187, 0, 0, 0, 0, 0, 6, 7, 200
"/Users/user/Documents/AAOPTOM Website/shared/types.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 0, 0, 2, 13, 111
"/Users/user/Documents/AAOPTOM Website/tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/user/Documents/AAOPTOM Website/vite.config.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 1, 6, 99
"/Users/user/Documents/AAOPTOM Website/vitest.config.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 47, 30, 3832, 6027, 1578, 9, 68, 187, 16, 599, 12393
